Days	S1	S2	S3	S4	S5	S6
0	1.00E+04	1.00E+04	1.00E+04	1.00E+04	1.00E+04	1.00E+04
1	1.50E+04	2.70E+04	2.90E+04	6.40E+04	3.60E+04	4.00E+04
2	3.50E+04	5.80E+05	6.00E+03	5.70E+04	2.30E+04	3.00E+04
3	3.50E+06	1.68E+05	2.55E+05	1.04E+06	9.45E+05	1.75E+06
4	5.75E+06	9.75E+06	4.13E+06	1.31E+07	8.75E+06	7.25E+06
5	9.25E+06	5.50E+06	8.50E+06	1.94E+07	2.10E+07	1.21E+07
6	3.13E+06	1.04E+07	1.76E+07	1.15E+07	1.64E+07	4.75E+06
7	9.25E+06	4.01E+07	3.65E+07	1.53E+07	1.64E+07	1.26E+07
8	7.75E+06	5.89E+07	5.40E+07	2.58E+07	1.94E+07	4.29E+07
9	2.75E+07	5.25E+07	5.88E+07	5.25E+07	3.25E+07	3.75E+07
10	5.50E+07	2.88E+07	9.88E+07	7.50E+07	3.00E+07	3.75E+07
11	6.88E+07	5.75E+07	8.63E+07	5.13E+07	6.50E+07	6.50E+07
12	1.14E+08	9.75E+07	8.13E+07	7.25E+07	3.50E+07	7.50E+07
13	5.63E+07	4.50E+07	7.88E+07	7.00E+07	3.13E+07	6.75E+07
14	6.13E+07	2.50E+07	7.75E+07	5.13E+07	5.00E+07	5.75E+07
15	3.10E+07	2.10E+07	5.10E+07	4.10E+07	3.00E+06	3.80E+07
